Scheme Name,ISIN,Asset Type,Company Name,Co_Name,Equity Rating,Rating,Sector,Fund Manager,Mkt Value,No Shares/Units,Perc Hold(%),Price(BSE),Mkt cap,% of Equity Shares,YTM,YTC
DSP NIFTY 1D Rate Liquid ETF,INF740KA1EU7,Net CA & Others,Net CA & Others,,,,,Anil Ghelani,2.78,,0.51,,,,0,0
DSP NIFTY 1D Rate Liquid ETF,INF740KA1EU7,Reverse Repo,TREPS,,,,,Anil Ghelani,540.88,,99.49,,,,0,0
Motilal Oswal Gold ETF,INF247L01FY4,Gold,GOLD .995 1KG BAR,,,,,Dishant Mehta,6.86,7,100,,,,0,0
Motilal Oswal Gold ETF,INF247L01FY4,Net CA & Others,Net CA & Others,,,,,Dishant Mehta,,,0,,,,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Aegis Logistics Ltd,Aegis Logistics,Good,,Trading,Swapnil Mayekar,0.01,204,0.28,719.2,"25,243.92",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Amber Enterprises India Ltd,Amber Enterp.,Bluechip,,Electronics - Components,Swapnil Mayekar,0.18,222,3.42,"7,958.70","26,966.41",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bajaj Finance Ltd,Bajaj Finance,Bluechip,,Finance & Investments,Swapnil Mayekar,0.06,734,1.25,880.75,"547,323.29",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bajaj Holdings & Investment Ltd,Bajaj Holdings,Average,,Finance & Investments,Swapnil Mayekar,0.14,99,2.67,"13,989.10","155,684.69",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bharat Dynamics Ltd,Bharat Dynamics,Good,,Engineering,Swapnil Mayekar,0.04,271,0.85,"1,619.25","59,355.63",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bharat Electronics Ltd,Bharat Electron,Bluechip,,Electronics - Components,Swapnil Mayekar,0.04,1043,0.77,383,"279,964.53",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bharti Airtel Ltd,Bharti Airtel,Bluechip,,Telecommunications - Service Provider,Swapnil Mayekar,0.06,333,1.23,"1,913.20","1,147,398.56",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Bharti Hexacom Ltd,Bharti Hexacom,Good,,Telecommunications - Service Provider,Swapnil Mayekar,0.15,801,2.86,"1,850.00","92,500.00",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,BSE Ltd,BSE,Poor,,Miscellaneous,Swapnil Mayekar,0.27,1098,5.16,,,,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Central Depository Services (India) Ltd,C D S L,Poor,,Miscellaneous,Swapnil Mayekar,0.07,492,1.41,,,,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Coforge Ltd,Coforge,Bluechip,,Computers - Software - Medium / Small,Swapnil Mayekar,0.13,748,2.53,"1,747.00","58,441.40",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Coromandel International Ltd,Coromandel Inter,Good,,Fertilizers,Swapnil Mayekar,0.17,625,3.25,"2,691.65","79,360.06",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Divis Laboratories Ltd,Divi's Lab.,Bluechip,,Pharmaceuticals - Indian - Bulk Drugs,Swapnil Mayekar,0.11,167,2.13,"6,600.65","175,226.52",,0,0
Motilal Oswal Nifty Alpha 50 ETF,INF247L01FR8,Equity,Dixon Technologies (India) Ltd,Dixon Technolog.,Good,,Electronics - Consumer,Swapnil Mayekar,0.12,71,2.31,"16,839.40","101,881.59",,0,0
