Scheme Name,Asset Type,Scheme Name,Company Name,Co_Name_Equity,Equity Rating,Rating,Sector,Fund Manager,Mkt Value,No Shares/Units,Perc Hold(%),Price(BSE),Mkt cap,% of Equity Shares,YTM,YTC
360 ONE Gold ETF,Reverse Repo,360 ONE Gold ETF,CBLO,,,,,Rahul Khetawat,0.62,,1.94,,,,0,0
360 ONE Gold ETF,Gold,360 ONE Gold ETF,GOLD,,,,,Rahul Khetawat,30.61,30,95.54,,,,0,0
360 ONE Gold ETF,Net CA & Others,360 ONE Gold ETF,Net CA & Others,,,,,Rahul Khetawat,0.81,,2.52,,,,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Adani Ports & Special Economic Zone Ltd,Adani Ports,Average,,Miscellaneous,Karthik Kumar,1.33,10137,1.03,"1,313.50","283,734.25",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Asian Paints Ltd,Asian Paints,Bluechip,,Paints / Varnishes,Karthik Kumar,1.57,6239,1.21,"2,517.40","241,468.45",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Axis Bank Ltd,Axis Bank,Bluechip,,Banks - Private Sector,Karthik Kumar,4.11,39357,3.17,"1,045.55","324,364.39",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Bajaj Finance Ltd,Bajaj Finance,Bluechip,,Finance & Investments,Karthik Kumar,3.16,36011,2.43,877.8,"546,209.46",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Bajaj Finserv Ltd,Bajaj Finserv,Bluechip,,Finance & Investments,Karthik Kumar,1.43,7495,1.1,"1,912.45","305,573.79",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Bharat Electronics Ltd,Bharat Electron,Bluechip,,Electronics - Components,Karthik Kumar,1.78,48106,1.37,369.25,"269,913.58",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Bharti Airtel Ltd,Bharti Airtel,Bluechip,,Telecommunications - Service Provider,Karthik Kumar,6.83,36165,5.26,"1,889.15","1,133,902.72",,0,0
AXIS BSE Sensex ETF,Reverse Repo,AXIS BSE Sensex ETF,Clearing Corporation of India Ltd,,,,Miscellaneous,Karthik Kumar,0.08,,0.06,,,,5.37,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Eternal Ltd,Eternal Ltd,Good,,Miscellaneous,Karthik Kumar,3.01,95845,2.32,314.2,"303,214.02",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,HCL Technologies Ltd,HCL Technologies,Bluechip,,Computers - Software - Large,Karthik Kumar,2.13,14602,1.64,"1,455.45","394,960.39",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,HDFC Bank Ltd,HDFC Bank,Good,,Banks - Private Sector,Karthik Kumar,19.91,209224,15.33,951.45,"1,460,863.90",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Hindustan Unilever Ltd,Hind. Unilever,Bluechip,,Personal Care - Multinational,Karthik Kumar,3.28,12318,2.52,"2,660.00","624,991.28",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,ICICI Bank Ltd,ICICI Bank,Bluechip,,Banks - Private Sector,Karthik Kumar,13.76,98397,10.6,"1,398.00","998,290.96",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Infosys Ltd,Infosys,Bluechip,,Computers - Software - Large,Karthik Kumar,7.24,49294,5.58,"1,469.45","610,463.94",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,ITC Ltd,ITC,Bluechip,,Cigarettes,Karthik Kumar,5.24,127783,4.03,409.75,"513,280.01",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Kotak Mahindra Bank Ltd,Kotak Mah. Bank,Bluechip,,Banks - Private Sector,Karthik Kumar,3.98,20304,3.07,"1,960.35","389,820.00",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Larsen & Toubro Ltd,Larsen & Toubro,Bluechip,,Engineering - Turnkey Services,Karthik Kumar,5.81,16129,4.47,"3,599.85","495,163.62",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Mahindra & Mahindra Ltd,M & M,Bluechip,,Automobiles - Passenger Cars,Karthik Kumar,3.9,12182,3,"3,198.15","397,699.17",,0,0
AXIS BSE Sensex ETF,Equity,AXIS BSE Sensex ETF,Maruti Suzuki India Ltd,Maruti Suzuki,Bluechip,,Automobiles - Passenger Cars,Karthik Kumar,2.69,1822,2.08,"14,789.95","464,999.83",,0,0
