Scheme_name,Cash & Cash Equivalent,Commercial Paper,Corporate Debts,Equity,Foreign Equity,Gold,Govt. Securities,NCD,Net CA & Others,Preference Shares,Reverse Repo,Silver,T Bills
360 ONE Gold ETF,,,,,,95.54,,,2.52,,1.94,,
Aditya Birla SL BSE Sensex ETF,,,,99.81,,,,,0.15,,0,,
Aditya Birla SL CRISIL Broad Based Gilt ETF,,,,,,,97.61,,1.75,,0.64,,
Aditya Birla SL CRISIL Liquid Overnight ETF,,,,,,,,,0.3,,99.7,,
Aditya Birla SL Gold ETF,,,,,,98.66,,,1.28,,0.06,,
Aditya Birla SL Nifty 200 Momentum 30 ETF,,,,99.94,,,,,0.01,0.04,,,
Aditya Birla SL Nifty 200 Quality 30 ETF,,,,100.01,,,,,0.02,,,,
Aditya Birla SL Nifty 50 ETF,,,,99.87,,,,,0.13,,0,,
Aditya Birla SL Nifty Bank ETF,,,,99.79,,,,,0.21,,0,,
Aditya Birla SL Nifty Healthcare ETF,,,,99.99,,,,,-0.01,,0.03,,
Aditya Birla SL Nifty IT ETF,,,,99.99,,,,,-0.01,,0.02,,
Aditya Birla SL Nifty Next 50 ETF,,,,99.68,,,,,0.29,0.04,,,
Aditya Birla SL Nifty PSE ETF,,,,99.54,,,,,0.45,,,,
Aditya Birla SL Silver ETF,,,,,,,,,2.06,,0.04,97.9,
AXIS BSE Sensex ETF,,,,99.77,,,,,0.15,,0.06,,
AXIS Gold ETF,,,,,,98.42,,,1.49,,0.09,,
AXIS Nifty 50 ETF,,,,99.78,,,,,0.14,,0.09,,
AXIS Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,,,51.61,,,,43.76,,3.64,,1,,
AXIS Nifty Bank ETF,,,,99.77,,,,,0.18,,0.06,,
AXIS Nifty India Consumption ETF,,,,99.8,,,,,0.03,0.03,0.13,,
AXIS Nifty IT ETF,,,,99.98,,,,,-0.06,,0.08,,
AXIS Nifty500 Value 50 ETF,,,,99.3,,,,,0.55,,0.13,,
AXIS Silver ETF,,,,,,,,,2.18,,0.17,97.65,
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,,2.86,,,,,,,-0.06,,96.06,,1.14
Bajaj Finserv Nifty 50 ETF,,,,99.87,,,,,0.13,,,,
Bajaj Finserv Nifty Bank ETF,,,,99.79,,,,,0.21,,,,
Bandhan Nifty 50 ETF,0,,,99.81,,,,,0.1,,0.09,,
