Scheme_name,Aerospace & Defence,Agro Chemicals,Air Transport Service,Alcoholic Beverages,Auto Ancillaries,Automobile,Banks,Bearings,Cables,Capital Goods - Electrical Equipment,Capital Goods-Non Electrical Equipment,"Castings, Forgings & Fastners",Cement,Ceramic Products,Chemicals,Commodity Chemicals,Construction,Consumer Durables,Credit Rating Agencies,Crude Oil & Natural Gas,"Diamond, Gems and Jewellery",Diversified,E-Commerce/App based Aggregator,E-Commerce/App based Aggregator ,Edible Oil,Electronics,Engineering,Engineering ,Entertainment,Fertilizers,Finance,FMCG,Gas Distribution,Glass & Glass Products,Healthcare,Healthcare ,Hotels & Resorts,Hotels & Restaurants,Housing Finance Company,Industrial Products,Infrastructure Developers & Operators,Insurance,IT - Software,Leather,Logistics,Marine Port & Services,Mining & Mineral products,Miscellaneous,Miscellaneous ,Non Ferrous Metals,Packaging,Paints/Varnish,Paper,Petrochemicals,Pharmaceuticals,Pharmaceuticals ,Plantation & Plantation Products,Plastic products,Plastic products ,Power Generation & Distribution,Power Infrastructure,Printing & Stationery ,Quick Service Restaurant,Railways,Readymade Garments/ Apparells,Realty,Refineries,Refractories,Retail,Sanitaryware,Ship Building,Shipping,Steel,Stock/ Commodity Brokers,Sugar,Telecomm Equipment & Infra Services,Telecomm-Service,Textiles,Tobacco Products,Trading,Trading - Metals,Tyres,NA
Aditya Birla SL BSE Sensex ETF,,,,,,5.98,35.74,,,,,,1.44,,,,,1.53,,,1.53,,1.86,,,,,,,,3.61,2.08,,,,,,,,,5.43,,12.31,,,,,,,,,1.07,,,1.8,,,,,3,,,,,,,10.3,,1.39,,,,1.34,,,,5.35,,3.91,,,,
Aditya Birla SL Nifty 200 Momentum 30 ETF,,,5.2,1.45,,2.92,14.77,,,,1.1,,1.81,,3.16,,,6.92,,,,,2.97,,,,,,,,19.85,,,,4.33,,,2.05,,,,9.95,5.33,,,,,4.87,,,,,,,4.32,,,,,,,,,,,,,,,,1.54,,,,,,5.02,2.41,,,,,
Aditya Birla SL Nifty 200 Quality 30 ETF,,,,,,6.49,,,2.22,2.1,6.13,,,,2.57,,,4.96,,,,,,,,,,,,,2.9,21.31,1.39,,,,,,,,,,25.97,,,,4.82,,,2.05,,4.2,,,,,,,,,,,,2.39,2.61,,2.91,,,,,,,,,,,,4.95,,,,
Aditya Birla SL Nifty 50 ETF,,,,,,7,30.96,,,,,,1.24,,,,,1.3,,0.82,1.31,,1.58,,,,,,,,4.88,2.52,,,0.63,,,,,,4.63,1.46,11.17,,,,0.77,,,0.86,,0.91,,,2.96,,0.62,,,2.54,,,,,,,8.76,,1.19,,,,1.97,,,,4.72,0.94,3.34,0.59,,,
Aditya Birla SL Nifty Bank ETF,,,,,,,99.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty Healthcare ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64,,,,,,,,,,,,,,,,,,,,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty IT ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty Next 50 ETF,,,4.91,1.76,3.1,4.19,5.13,,,6,3.87,,3.31,,1.97,,,,,,,,3.07,,,,,,,,11.7,8.64,2.15,,,,,2.79,,,,4.03,2.06,,,,3.27,,,,,,,,6.14,,,,,8.61,,,,,,3.87,4.99,,2.69,,,,1.46,,,,,,,,,,
Aditya Birla SL Nifty PSE ETF,,,,,,,,,,2.74,7.4,,,,,,1.81,12.08,,9.49,,,,,,,,,,,11.03,,4.12,,,,,,,,,,,,1.68,,9.07,,,,,,,,,,,,,25.76,,,,1.89,,,12.92,,,,,,,,,,,,,,,,
Angel One Nifty 50 ETF,,,,,,7.04,30.92,,,,,,1.22,,,,,1.3,,0.82,1.31,,1.58,,,,,,,,4.87,2.51,,,0.61,,,,,,4.64,1.46,11.17,,,,0.77,,,0.86,,0.91,,,2.96,,0.62,,,2.54,,,,,,,8.76,,1.19,,,,1.97,,,,4.72,0.93,3.34,0.59,,,
