Scheme_name,Abrasives And Grinding Wheels,Air-conditioners,Aluminium and Aluminium Products,Auto Ancillaries,Automobiles - LCVs / HCVs,Automobiles - Motorcycles / Mopeds,Automobiles - Passenger Cars,Automobiles - Scooters And 3 - Wheelers,Automobiles - Tractors,Banks - Private Sector,Banks - Public Sector,Bearings,Breweries & Distilleries,Cables - Power,Cables - Telephone,Castings & Forgings,Cement - North India,Cement - South India,Ceramics - Tiles / Sanitaryware,Chemicals,Cigarettes,Compressors / Drilling Equipment,Computers - Hardware,Computers - Software - Large,Computers - Software - Medium / Small,Construction,Couriers,Diamond Cutting / Jewellery,Diversified - Large,Diversified - Mega,Domestic Appliances,Electric Equipment,Electrodes - Graphites,Electrodes - Welding Equipment,Electronics - Components,Electronics - Consumer,Engineering,Engineering - Turnkey Services,Engines,Entertainment / Electronic Media Software,Fertilizers,Finance - Housing,Finance - Term-Lending Institutions,Finance & Investments,Food - Processing - Indian,Food - Processing - MNC,Glass & Glass Products,Healthcare,Hotels,Leather / Leather Products,Mining / Minerals / Metals,Miscellaneous,Oil Drilling / Allied Services,Packaging,Paints / Varnishes,Personal Care - Indian,Personal Care - Multinational,Pesticides / Agrochemicals - Indian,Pesticides / Agrochemicals - Multinational,Petrochemicals,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals - Indian - Bulk Drugs & Formln,Pharmaceuticals - Indian - Formulations,Pharmaceuticals - Multinational,Plastics Products,Power Generation And Supply,Printing & Stationery,Pumps,Refineries,Refractories / Intermediates,Shipping,Solvent Extraction,Steel - Large,Steel - Medium / Small,Sugar,Tea,Telecommunications - Equipment,Telecommunications - Service Provider,Textile Machinery,Textiles - Cotton/Blended,Textiles - Manmade,Textiles - Processing,Textiles - Products,Trading,Transmisson Line Towers / Equipment,Transport - Airlines,Travel Agencies,Tyres
Aditya Birla SL BSE Sensex ETF,,,,,1.49,,5.07,,,32.15,3.54,,,,,,1.58,,,,4.03,,,11.54,,,,1.57,,,,,,,1.4,,,4.47,,,,,,3.53,,,,,,,,3.34,,,1.21,,2.52,,,,,1.79,,,,2.98,,,9.75,,,,1.35,,,,,5.26,,,,,,1.24,,,,
Aditya Birla SL Nifty 200 Momentum 30 ETF,,,,,,3.52,,,,14.97,,,1.43,,,,1.84,,,4.94,,,,2.37,2.72,,,,,,,,,,4.8,2.19,0.88,,,,,,,26.57,,,,4.21,2.2,,,11.35,,,,,,,,,4.19,,,,,,,,,,,,,,,,,5.07,,,,,,1.4,,5.29,,
Aditya Birla SL Nifty 200 Quality 30 ETF,,,,,,3.37,,4.01,,,,,,2.48,,,,,,2.65,5.03,,,20.4,3.54,,,,,,,2.14,,,4.49,,3.24,,3.02,,,,,3.15,,9.42,,,,,6.73,1.36,,,4.67,,10,,,,,,,,,,,,2.79,,,2.92,,,,,,,,,,,2.41,,,,2.19,
Aditya Birla SL Nifty 50 ETF,,,0.92,,1.26,1.36,4.3,0.86,,27.82,2.78,,,,,,1.35,,,,3.44,,,10.5,,,,1.35,,,,,,,1.19,,,3.81,,,,,,6.17,,0.75,,0.69,,,0.77,2.84,0.82,,1.03,,2.13,,,,,3.05,,,,2.53,,,8.3,,,,2.03,,,0.63,,4.64,,,0.96,,,1.59,,,,
Aditya Birla SL Nifty Bank ETF,,,,,,,,,,82.92,16.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty Healthcare ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.95,,,,1.24,,,,,,,,,8.14,63.06,3.89,1.71,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty IT ETF,,,,,,,,,,,,,,,,,,,,,,,,94.16,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla SL Nifty Next 50 ETF,,,,3.32,,3.38,1.54,,,,4.96,,1.7,,,,3.34,,,2.07,,,,2.09,,3.55,,,,,,5.99,,,,,3.62,,,,,0.46,5.28,8.86,2.87,3.02,,,2.93,,3.14,5.07,,,,3.55,,,,,3.42,1.08,1.64,,,8.44,,,4.87,,,,1.54,,,,,,,,,,,3.08,,4.87,,
Aditya Birla SL Nifty PSE ETF,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,2.34,,,11.59,,7.21,,,,,,10.52,,,,,,,,9.54,5.68,9.81,,,,,,,,,,,,,26.66,,,12.86,,,,,,,,,,,,,,,,,,1.83,
AXIS BSE Sensex ETF,,,,,1.49,,5.08,,,32.17,3.5,,,,,,1.56,,,,4.03,,,11.54,,,,1.57,,,,,,,1.37,,,4.47,,,,,,3.53,,,,,,,,3.35,,,1.21,,2.52,,,,,1.79,,,,2.99,,,9.76,,,,1.35,,,,,5.26,,,,,,1.23,,,,
