CO_CODE,CO_NAME,F&O,[ISIN No,Current Live Rating,Current Live Restricted,As per new Rules,As per new Rules - Restricted,New Rules Rating (ex Symbol),New Rules Rating (ex Symbol) Restricted,New Rules Rating (ex ADTO),New Rules Rating (ex ADTO) Restricted,"New Rules Rating (ex Symbol, ex ADTO)",New Rules - Quick Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New Rules Restricted Reason,Mcap,[Total Shareholders Funds (Latest)],Revenue- Latest FY,6M Median ADTO in Rs crs,PET Check,F-Score,Promoter Pledge%,Impact Cost,BSE Series,NSE Series,Nifty 500,Aug 2025_ADTO in Rs crs,Sep 2025_ADTO in Rs crs,Oct 2025_ADTO in Rs crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,Rating v1 (as per rules),Latest_3M_ADTO_above_thresh,All Conditions Met (Except Size) + 50% of Average Size Criteria Met,Meeting Size Criteria_Poor,Size Exception for Poor to Average,"All Conditions of Good Met (Except ""Good"" Size)",Size Criteria_Average,Size Exception for Average to Good,ADTO_Wipsaw_Upgrade,Rating v2 (V1 wo adj for whipsaw),Rating v2 (V1 adj for whipsaw),MTF_VAR_pct,As per old Rules,As per old Rules - Restricted
31,Ashok Leyland,F&O,INE208A01029,Bluechip,-,Average,,Average,,Average,,Average,Bluechip,0,0.154568903,15.41,14.99,15.41,,,83085.67,12232.09,43214.73,164.5082336,PET Good,F-Check Passed,41.15,0.02,A,EQ,Nifty 500,203.6291592,278.8557248,162.3028992,,,,,Average,Average,3,,,,No,3,,,Average,Average,22.02,Bluechip,
34,Asian Paints,F&O,INE021A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.275362442,12.5,12.5,12.5,,,240758.65,19399.81,33905.62,271.5150372,PET Good,F-Check Passed,9.09,0.02,A,EQ,Nifty 500,375.3464432,248.4675624,200.6757216,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
69,Bharat Forge,F&O,INE465A01025,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.128724777,16,16.01,16.01,,,63291.76,9253.34,15122.8,150.5011162,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,127.5810596,183.8916608,110.7259584,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.04,Bluechip,
82,Blue Star,F&O,INE472A01039,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.063354178,17.27,17.33,17.33,,,39817.3,3065.02,11967.65,118.7753242,PET Good,F-Check Passed,0,0.05,A,EQ,Nifty 500,96.2392688,85.4528668,69.995356,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.35,Bluechip,
93,Britannia Inds.,F&O,INE216A01030,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.069989358,12.5,12.5,12.5,,,140679.13,4355.72,17942.67,155.3711951,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,258.5775908,233.4811556,149.512296,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
111,Exide Inds.,F&O,INE302A01020,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.438037826,14.95,14.96,14.96,,,32461.5,13913.48,17237.85,102.9924362,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,146.83515,106.6340128,83.8360312,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.99,Bluechip,
114,Cipla,F&O,INE059A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.302704081,12.5,12.5,12.5,,,121298.96,31193.45,27547.62,248.5140348,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,240.5946216,173.1654284,256.433448,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
118,Colgate-Palmoliv,F&O,INE259A01022,Good,-,Good,,Good,,Good,,Good,Good,0,0.139014789,12.74,12.73,12.74,,,61039.02,1664.47,6040.17,140.0966042,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,156.4817112,135.9842092,134.1625344,,,,,Good,Good,3,,,,,,,,Good,Good,19.75,Good,
125,CG Power & Ind,F&O,INE067A01029,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.267024983,17.29,17.28,17.29,,,115941.69,3843.95,9908.66,211.300194,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,233.1445984,321.039344,173.900248,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,24.32,Bluechip,
151,Eicher Motors,F&O,INE066A01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.174976724,12.56,12.59,12.59,,,192146.82,21296.49,18870.35,287.6428316,PET Good,F-Check Passed,0,0.02,A,EQ,Nifty 500,359.562128,425.9729136,253.0024648,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.58,Bluechip,
