CO_CODE,CO_NAME,[ISIN_No,Current_Live_Rating,Current_Live_Restricted,As_per_new_Rules,As_per_new_Rules_-_Restricted,New_Rules_Rating_(ex_Symbol),New_Rules_Rating_(ex_Symbol)_Restricted,New_Rules_Rating_(ex_ADTO),New_Rules_Rating_(ex_ADTO)_Restricted,"New_Rules_Rating_(ex_Symbol,_ex_ADTO)",New_Rules_-_Quick_Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New_Rules_Restricted_Reason,Mcap,[Total_Shareholders_Funds_(Latest)],Revenue-_Latest_FY,Median6M_ADTO_in_Rs_crs,PET_Check,F-Score,Promoter_Pledge%,Impact_Cost,BSE_Series,NSE_Series,Aug_2025_ADTO_in_Rs_crs,Sep_2025_ADTO_in_Rs_crs,Oct_2025_ADTO_in_Rs_crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,BSE_symbol_downgrade?,NSE_symbol_downgrade?,Market_Cap/ISIN,Rating_v1_(as_per_rules),Restricted,Latest_3M_ADTO_above_thresh,All_Conditions_Met_(Except_Size)_+_50%_of_Average_Size_Criteria_Met,Meeting_Size_Criteria_Poor,Size_Exception_for_Poor_to_Average,"All_Conditions_of_Good_Met_(Except_""Good""_Size)",Size_Criteria_Average,Size_Exception_for_Average_to_Good,All_conditions_met_Except_ADTO,Size_Criteria_for_ADTO_Upgrade,ADTO_>_0.5_Cr,ADTO_Upgrade_(Poor_to_Average),ADTO_Wipsaw_Upgrade,Rating_v2_(V1_wo_adj_for_whipsaw),Rating_v2_(V1_adj_for_whipsaw),Last_Trading_Date?,Not_traded?,MTF_VAR_pct,As_per_old_Rules,As_per_old_Rules_-_Restricted
6,ACC,INE012A01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.135513924,12.87,12.88,12.88,,,35328.42,18554.84,21762.31,71.7776426,PET Good,F-Check Passed,0,0.03,A,EQ,70.8498516,41.8078012,45.8802226,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,26.89,Good,
8,Advance Petroch.,INE334N01018,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,6,,78.5,78.5,100,"Mcap , Shareholders Fund , ADTO in Cr , Rev , BSE symbol downgrade , Not traded",ADTO in Cr,15.53,4.04,49.94,0.001920964,PET Good,F-Check Passed,0,,X,,0.002008046,0.001518189,0.003056067,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,23/10/2025,Yes,0,Poor,
9,Aegis Logistics,INE208C01025,Good,-,Good,,Good,,Good,,Good,Good,0,0.0786746,23.5,23.5,23.5,,,26342.55,4630.82,6763.79,76.1546661,PET Good,F-Check Passed,0,0.04,A,EQ,23.7358664,93.0247364,90.0647332,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,37.51,Good,
11,Alfred Herbert,INE782D01027,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,4,,100,100,100,"ADTO in Cr , Impact Cost , Rev , BSE symbol downgrade",ADTO in Cr,250.25,122.51,10.44,0.065761053,PET Good,F-Check Passed,0,3,XT,EQ,0.3199444,0.079570981,0.021022766,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
14,Ambalal Sarabhai,INE432A01017,Poor,-,Poor,,Poor,,Poor,,Poor,Poor,3,,23.07,23.08,100,"ADTO in Cr , Rev , BSE symbol downgrade",,249.44,139.97,196.19,0.2594804,PET Good,F-Check Passed,0,0.54,X,EQ,0.2136685,0.31143695,0.2690769,,,,,Poor,Yes,No,No,Poor,,0,No,1,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Average,
17,Amrutanjan Healt,INE098F01031,Average,-,Average,,Average,,Average,,Average,Average,0,0.000761179,14.9,14.91,30,,,2095.15,326.61,451.82,1.680543482,PET Good,F-Check Passed,0,0.22,B,EQ,1.383394288,2.097822213,1.424621363,,,,,Average,No,No,No,Average,,3,,,,No,1,,,,,,,Average,Average,31/10/2025,No,35,Average,
19,Andhra Cements,INE666E01020,Poor,-,Poor,,Poor,,Poor,,Average,Average,4,,100,100,100,"ADTO in Cr , F-Score , NSE symbol downgrade , BSE symbol downgrade",,672.76,144.55,274.05,0.283535956,PET Good,,26.39,0.56,T,BE,0.697417038,0.884397313,0.151634844,,,,,Poor,Yes,Yes,No,Poor,,0,No,1,,,,,No,1,No,,,Poor,Poor,31/10/2025,No,0,Average,
20,Andhra Paper,INE435A01051,Average,-,Average,,Average,,Good,,Good,Good,0,0.000752486,16.2,16.7,30,,,1546.06,1940.83,1541.24,1.546393288,PET Good,F-Check Passed,0,0.21,B,EQ,3.825574325,1.588838663,1.503947913,,,,,Average,No,No,No,Average,,3,,,,No,3,,,,,,,Average,Average,31/10/2025,No,35,Good,
23,Apollo Tyres,INE438A01022,Good,-,Good,,Good,,Good,,Good,Good,0,0.039514268,14.3,14.26,14.3,,,31853.49,14765.7,26123.42,57.4566257,PET Good,F-Check Passed,0.05,0.03,A,EQ,29.7709274,73.5663596,56.1487196,,,,,Good,No,No,No,Good,,3,,,,,,,,,,,,Good,Good,31/10/2025,No,28.29,Good,
24,Utique Enterp.,INE096A01010,Poor,Restricted,Poor,Restricted,Poor,,Poor,,Poor,Poor,7,,25,25,100,"Mcap , Shareholders Fund , ADTO in Cr , Impact Cost , Rev , PET Check , BSE symbol downgrade",ADTO in Cr,31.46,69.94,103.63,0.011918557,,F-Check Passed,0,4.44,X,EQ,0.010536919,0.010684413,0.013762767,,,,,Poor,Yes,No,No,Poor,Restricted,0,No,0,,,,,No,0,No,,,Poor,Poor,31/10/2025,No,0,Poor,
