xx,ISIN,Scheme Name,Tag,Rating,ISIN
0,INF579M01BB5,360 ONE Gold ETF,"['Good', '90percent gold']",Good,INF579M01BB5
1,INF579M01BC3,360 ONE Silver ETF,"['notag', '90percent Silver']",Silver,#N/A
2,INF846K010Q0,AXIS BSE Sensex ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
3,INF846K01W80,AXIS Gold ETF,"['Good', '90percent gold']",Good,INF846K01W80
4,INF846K01W98,AXIS Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
5,INF846K01Z04,AXIS Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,OtherTag,other,#N/A
6,INF846K01X63,AXIS Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
7,INF846K01Z12,AXIS Nifty Healthcare ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
8,INF846K01Y96,AXIS Nifty IT ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
9,INF846K016C7,AXIS Nifty India Consumption ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
10,INF846KA1119,AXIS Nifty500 Value 50 ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
11,INF846K011K1,AXIS Silver ETF,"['notag', '90percent Silver']",Silver,INF846K011K1
12,INF209KB10E8,Aditya Birla SL BSE Sensex ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
13,INF209KC1142,Aditya Birla SL CRISIL 10 Year Gilt ETF,"['Good', '90percent gsec']",Good,#N/A
14,INF209KC1134,Aditya Birla SL CRISIL Broad Based Gilt ETF,"['Good', '90percent gsec']",Good,#N/A
15,INF209KB18T9,Aditya Birla SL CRISIL Liquid Overnight ETF,"['Good', '90percent rev_repo']",Good,#N/A
16,INF209KB18D3,Aditya Birla SL Gold ETF,"['Good', '90percent gold']",Good,#N/A
17,INF209KB14K7,Aditya Birla SL Nifty 200 Momentum 30 ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
18,INF209KB15K4,Aditya Birla SL Nifty 200 Quality 30 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
19,INF209KB19D1,Aditya Birla SL Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
20,INF209KB17D5,Aditya Birla SL Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
21,INF209KB10C2,Aditya Birla SL Nifty Healthcare ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
22,INF209KB11D8,Aditya Birla SL Nifty IT ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
23,INF209KB16D7,Aditya Birla SL Nifty Next 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
24,INF209KB19Z4,Aditya Birla SL Nifty PSE ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
25,INF209KB19F6,Aditya Birla SL Silver ETF,"['notag', '90percent Silver']",Silver,#N/A
26,INF1J2R01056,Angel One Nifty 1D Rate Liquid ETF - Growth,"['Good', '90percent rev_repo']",Good,#N/A
27,INF1J2R01064,Angel One Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
28,INF1J2R01015,Angel One Nifty Total Market ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
29,INF754K01KO2,BHARAT Bond ETF - April 2030,OtherTag,other,#N/A
30,INF754K01LE1,BHARAT Bond ETF - April 2031,OtherTag,other,#N/A
31,INF754K01OB1,BHARAT Bond ETF - April 2032,OtherTag,other,#N/A
32,INF754K01QX0,BHARAT Bond ETF - April 2033,OtherTag,other,#N/A
33,INF0QA701854,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,"['Good', '90percent rev_repo']",Good,#N/A
34,INF0QA701722,Bajaj Finserv Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
35,INF0QA701714,Bajaj Finserv Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
36,INF194KA1U07,Bandhan Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
37,INF251K01SU9,Baroda BNP Paribas Gold ETF,"['Good', '90percent gold']",Good,#N/A
38,INF251K01TL6,Baroda BNP Paribas NIFTY Bank ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
39,INF109KB15Y7,Bharat 22 ETF,"['Good', '70percent bluechip in equity']",Good,INF109KB15Y7
40,INF457M01133,CPSE ETF,"['Good', '70percent bluechip in equity']",Good,INF457M01133
41,INF740KA1UM0,DSP BSE Liquid Rate ETF,"['Good', '90percent rev_repo']",Good,#N/A
42,INF740KA1VE5,DSP BSE SENSEX Next 30 ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
43,INF740KA1SZ6,DSP BSE Sensex ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
44,INF740KA1SW3,DSP Gold ETF,"['Good', '90percent gold']",Good,INF740KA1SW3
45,INF740KA1EU7,DSP NIFTY 1D Rate Liquid ETF,"['Good', '90percent rev_repo']",Good,INF740KA1EU7
46,INF740KA1CL0,DSP Nifty 50 ETF,"['Good', '70percent bluechip in equity']",Good,INF740KA1CL0
47,INF740KA1QK2,DSP Nifty 50 Equal Weight ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
48,INF740KA1RX3,DSP Nifty Bank ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
49,INF740KA1UF4,DSP Nifty Healthcare ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
50,INF740KA1SX1,DSP Nifty IT ETF,"['Good', '70percent bluechip in equity']",Good,INF740KA1SX1
51,INF740KA1QL0,DSP Nifty Midcap 150 Quality 50 ETF,"['Good', '75percent bluechip and good in equity']",Good,#N/A
52,INF740KA1SY9,DSP Nifty PSU Bank ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
53,INF740KA1TA7,DSP Nifty Private Bank ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
54,INF740KA1UR9,DSP Nifty Top 10 Equal Weight ETF,"['Good', '70percent bluechip in equity']",Good,#N/A
