,Scheme Name,ISIN,all_sectors,key_sectors,Final Tag,Sub Tag
0,360 ONE Gold ETF,INF579M01BB5,"{'Gold': 95.54, 'Net CA & Others': 2.52, 'Reverse Repo': 1.94}",['Gold'],Gold,
1,Aditya Birla SL BSE Sensex ETF,INF209KB10E8,"{'Equity': 99.81, 'Net CA & Others': 0.15, 'Reverse Repo': 0.0}",['Equity'],Equity,
2,Aditya Birla SL CRISIL Broad Based Gilt ETF,INF209KC1134,"{'Govt. Securities': 97.61, 'Net CA & Others': 1.75, 'Reverse Repo': 0.64}",['Govt. Securities'],Govt Securities,
3,Aditya Birla SL CRISIL Liquid Overnight ETF,INF209KB18T9,"{'Net CA & Others': 0.3, 'Reverse Repo': 99.7}",['Reverse Repo'],Rev Repo,
4,Aditya Birla SL Gold ETF,INF209KB18D3,"{'Gold': 98.66, 'Net CA & Others': 1.28, 'Reverse Repo': 0.06}",['Gold'],Gold,
5,Aditya Birla SL Nifty 200 Momentum 30 ETF,INF209KB14K7,"{'Equity': 99.94, 'Net CA & Others': 0.01, 'Preference Shares': 0.04}",['Equity'],Equity,
6,Aditya Birla SL Nifty 200 Quality 30 ETF,INF209KB15K4,"{'Equity': 100.01, 'Net CA & Others': 0.02}",['Equity'],Equity,
7,Aditya Birla SL Nifty 50 ETF,INF209KB19D1,"{'Equity': 99.87, 'Net CA & Others': 0.13, 'Reverse Repo': 0.0}",['Equity'],Equity,
8,Aditya Birla SL Nifty Bank ETF,INF209KB17D5,"{'Equity': 99.79, 'Net CA & Others': 0.21, 'Reverse Repo': 0.0}",['Equity'],Equity,
9,Aditya Birla SL Nifty Healthcare ETF,INF209KB10C2,"{'Equity': 99.99, 'Net CA & Others': -0.01, 'Reverse Repo': 0.03}",['Equity'],Equity,
10,Aditya Birla SL Nifty IT ETF,INF209KB11D8,"{'Equity': 99.99, 'Net CA & Others': -0.01, 'Reverse Repo': 0.02}",['Equity'],Equity,
11,Aditya Birla SL Nifty Next 50 ETF,INF209KB16D7,"{'Equity': 99.68, 'Net CA & Others': 0.29, 'Preference Shares': 0.04}",['Equity'],Equity,
