,Scheme Name,all_sectors,key_sectors,ISIN,Tag,,xx,key_sectors
0,Aditya Birla SL BSE Sensex ETF,"{'Automobiles - LCVs / HCVs': 1.49, 'Automobiles - Passenger Cars': 5.07, 'Banks - Private Sector': 32.15, 'Banks - Public Sector': 3.54, 'Cement - North India': 1.58, 'Cigarettes': 4.03, 'Computers - Software - Large': 11.54, 'Diamond Cutting / Jewellery': 1.57, 'Electronics - Components': 1.4, 'Engineering - Turnkey Services': 4.47, 'Finance & Investments': 3.53, 'Miscellaneous': 3.34, 'Paints / Varnishes': 1.21, 'Personal Care - Multinational': 2.52, 'Pharmaceuticals - Indian - Bulk Drugs & Formln': 1.79, 'Power Generation And Supply': 2.98, 'Refineries': 9.75, 'Steel - Large': 1.35, 'Telecommunications - Service Provider': 5.26, 'Trading': 1.24}",[],INF209KB10E8,Index Based,Equity,Equity-Index Based,[]
1,Aditya Birla SL Nifty 200 Momentum 30 ETF,"{'Automobiles - Motorcycles / Mopeds': 3.52, 'Banks - Private Sector': 14.97, 'Breweries & Distilleries': 1.43, 'Cement - North India': 1.84, 'Chemicals': 4.94, 'Computers - Software - Large': 2.37, 'Computers - Software - Medium / Small': 2.72, 'Electronics - Components': 4.8, 'Electronics - Consumer': 2.19, 'Engineering': 0.88, 'Finance & Investments': 26.57, 'Healthcare': 4.21, 'Hotels': 2.2, 'Miscellaneous': 11.35, 'Pharmaceuticals - Indian - Bulk Drugs': 4.19, 'Telecommunications - Service Provider': 5.07, 'Trading': 1.4, 'Transport - Airlines': 5.29}",[],INF209KB14K7,Factor Based,Equity,Equity-Factor Based,[]
2,Aditya Birla SL Nifty 200 Quality 30 ETF,"{'Automobiles - Motorcycles / Mopeds': 3.37, 'Automobiles - Scooters And 3 - Wheelers': 4.01, 'Cables - Power': 2.48, 'Chemicals': 2.65, 'Cigarettes': 5.03, 'Computers - Software - Large': 20.4, 'Computers - Software - Medium / Small': 3.54, 'Electric Equipment': 2.14, 'Electronics - Components': 4.49, 'Engineering': 3.24, 'Engines': 3.02, 'Finance & Investments': 3.15, 'Food - Processing - MNC': 9.42, 'Mining / Minerals / Metals': 6.73, 'Miscellaneous': 1.36, 'Paints / Varnishes': 4.67, 'Personal Care - Multinational': 10.0, 'Refineries': 2.79, 'Solvent Extraction': 2.92, 'Textiles - Products': 2.41, 'Travel Agencies': 2.19}",[],INF209KB15K4,Index Based,Equity,Equity-Index Based,[]
3,Aditya Birla SL Nifty 50 ETF,"{'Aluminium and Aluminium Products': 0.92, 'Automobiles - LCVs / HCVs': 1.26, 'Automobiles - Motorcycles / Mopeds': 1.36, 'Automobiles - Passenger Cars': 4.3, 'Automobiles - Scooters And 3 - Wheelers': 0.86, 'Banks - Private Sector': 27.82, 'Banks - Public Sector': 2.78, 'Cement - North India': 1.35, 'Cigarettes': 3.44, 'Computers - Software - Large': 10.5, 'Diamond Cutting / Jewellery': 1.35, 'Electronics - Components': 1.19, 'Engineering - Turnkey Services': 3.81, 'Finance & Investments': 6.17, 'Food - Processing - MNC': 0.75, 'Healthcare': 0.69, 'Mining / Minerals / Metals': 0.77, 'Miscellaneous': 2.84, 'Oil Drilling / Allied Services': 0.82, 'Paints / Varnishes': 1.03, 'Personal Care - Multinational': 2.13, 'Pharmaceuticals - Indian - Bulk Drugs & Formln': 3.05, 'Power Generation And Supply': 2.53, 'Refineries': 8.3, 'Steel - Large': 2.03, 'Tea': 0.63, 'Telecommunications - Service Provider': 4.64, 'Textiles - Manmade': 0.96, 'Trading': 1.59}",[],INF209KB19D1,Index Based,Equity,Equity-Index Based,[]
4,Aditya Birla SL Nifty Bank ETF,"{'Banks - Private Sector': 82.92, 'Banks - Public Sector': 16.87}",['Banks - Private Sector'],INF209KB17D5,Sector Based,Equity,Equity-Sector Based,['Banks - Private Sector']
5,Aditya Birla SL Nifty Healthcare ETF,"{'Healthcare': 21.95, 'Miscellaneous': 1.24, 'Pharmaceuticals - Indian - Bulk Drugs': 8.14, 'Pharmaceuticals - Indian - Bulk Drugs & Formln': 63.06, 'Pharmaceuticals - Indian - Formulations': 3.89, 'Pharmaceuticals - Multinational': 1.71}",['Pharmaceuticals - Indian - Bulk Drugs & Formln'],INF209KB10C2,Sector Based,Equity,Equity-Sector Based,['Pharmaceuticals - Indian - Bulk Drugs & Formln']
6,Aditya Birla SL Nifty IT ETF,"{'Computers - Software - Large': 94.16, 'Computers - Software - Medium / Small': 5.83}",['Computers - Software - Large'],INF209KB11D8,Sector Based,Equity,Equity-Sector Based,['Computers - Software - Large']
7,Aditya Birla SL Nifty Next 50 ETF,"{'Auto Ancillaries': 3.32, 'Automobiles - Motorcycles / Mopeds': 3.38, 'Automobiles - Passenger Cars': 1.54, 'Banks - Public Sector': 4.96, 'Breweries & Distilleries': 1.7, 'Cement - North India': 3.34, 'Chemicals': 2.07, 'Computers - Software - Large': 2.09, 'Construction': 3.55, 'Electric Equipment': 5.99, 'Engineering': 3.62, 'Finance - Housing': 0.46, 'Finance - Term-Lending Institutions': 5.28, 'Finance & Investments': 8.86, 'Food - Processing - Indian': 2.87, 'Food - Processing - MNC': 3.02, 'Hotels': 2.93, 'Mining / Minerals / Metals': 3.14, 'Miscellaneous': 5.07, 'Personal Care - Indian': 3.55, 'Pharmaceuticals - Indian - Bulk Drugs': 3.42, 'Pharmaceuticals - Indian - Bulk Drugs & Formln': 1.08, 'Pharmaceuticals - Indian - Formulations': 1.64, 'Power Generation And Supply': 8.44, 'Refineries': 4.87, 'Steel - Large': 1.54, 'Trading': 3.08, 'Transport - Airlines': 4.87}",[],INF209KB16D7,Index Based,Equity,Equity-Index Based,[]
8,Aditya Birla SL Nifty PSE ETF,"{'Construction': 1.5, 'Electric Equipment': 2.34, 'Electronics - Components': 11.59, 'Engineering': 7.21, 'Finance - Term-Lending Institutions': 10.52, 'Mining / Minerals / Metals': 9.54, 'Miscellaneous': 5.68, 'Oil Drilling / Allied Services': 9.81, 'Power Generation And Supply': 26.66, 'Refineries': 12.86, 'Travel Agencies': 1.83}",[],INF209KB19Z4,Index Based,Equity,Equity-Index Based,[]
9,AXIS BSE Sensex ETF,"{'Automobiles - LCVs / HCVs': 1.49, 'Automobiles - Passenger Cars': 5.08, 'Banks - Private Sector': 32.17, 'Banks - Public Sector': 3.5, 'Cement - North India': 1.56, 'Cigarettes': 4.03, 'Computers - Software - Large': 11.54, 'Diamond Cutting / Jewellery': 1.57, 'Electronics - Components': 1.37, 'Engineering - Turnkey Services': 4.47, 'Finance & Investments': 3.53, 'Miscellaneous': 3.35, 'Paints / Varnishes': 1.21, 'Personal Care - Multinational': 2.52, 'Pharmaceuticals - Indian - Bulk Drugs & Formln': 1.79, 'Power Generation And Supply': 2.99, 'Refineries': 9.76, 'Steel - Large': 1.35, 'Telecommunications - Service Provider': 5.26, 'Trading': 1.23}",[],INF846K010Q0,Index Based,Equity,Equity-Index Based,[]
