S_no,CO_NAME,Tag,
31,Hyundai Motor I,NonF&O,"Faced scrutiny from proxy advisory firms over related-party transactions, with concerns raised about transparency and the potential risks to minority shareholders."
32,Religare Enterp.,NonF&O,"The company has been embroiled in disputes, regulatory scrutiny by SEBI, allegations of insider trading against its former executive chairperson, and a Ministry of Corporate Affairs investigation into its financial transactions. There were also concerns about a postponed Annual General Meeting and a governance review initiated by the new promoters."
33,NCC,F&O,
34,Oil India,F&O,"While not explicitly mentioning problems, a parliamentary committee recommended increasing the frequency of board meetings at locations where maximum operations are taking place, suggesting a potential area for improvement in governance practices."
35,Union Bank (I),F&O,
36,Indian Bank,F&O,An executive director was demoted following a legal challenge questioning the legitimacy of their appointment due to a lack of vigilance clearance. The bank also faced an RBI penalty for non-compliance with regulations related to unclaimed deposits and agricultural loan collateral
37,Manappuram Fin.,F&O,"While the company emphasizes strong governance, a past instance of the company being asked to submit a statement regarding ""connected lending"" by RBI, as mentioned in, may warrant further scrutiny"
38,Hind.Aeronautics,F&O,Faced criticism regarding delays and inefficiencies in projects like the Tejas program and concerns about past land management practices and investments in joint venture companies.
39,H U D C O,F&O,
40,NHPC Ltd,F&O,
41,Mazagon Dock,F&O,
42,Oracle Fin.Serv.,F&O,
43,NBCC,F&O,There have been mentions of awaiting the appointment of independent directors to the board.
44,Prestige Estates,F&O,
45,Cyient,F&O,"A US subsidiary was fined for an employer health coverage lapse, although the company stated it was contesting the decision."
46,PNB Housing,F&O,Faced controversy surrounding a proposed preferential issue that some stakeholders argued was against the interests of public shareholders and PNB itself.
47,Torrent Power,F&O,
48,SBI Cards,F&O,
49,Fortis Health.,F&O,"Experienced issues regarding the board's competence in approving a deal, especially given the history of governance issues in the group and alleged fund diversions by the former promoters"
50,Muthoot Finance,F&O,
51,Solar Industries,F&O,
52,Polycab India,F&O,
53,JSW Energy,F&O,
54,IRB Infra.Devl.,F&O,
55,AU Small Finance,F&O,
56,Lodha Developers,F&O,
57,Oberoi Realty,F&O,
58,Mankind Pharma,F&O,
59,Angel One,F&O,
60,Aditya Birla Cap,F&O,
61,Tube Investments,F&O,
62,Kalyan Jewellers,F&O,
63,Laurus Labs,F&O,
64,Amber Enterp.,F&O,
65,Crompton Gr. Con,F&O,
66,Bandhan Bank,F&O,
67,KPIT Technologi.,F&O,
68,Piramal Pharma,F&O,
69,Bannari Amm.Sug.,NonF&O,
70,Oriental Aromat.,NonF&O,
71,Deccan Cements,NonF&O,
72,Guj. Themis Bio.,NonF&O,
73,HLV,NonF&O,
74,GOCL Corpn.,NonF&O,
75,Mafatlal Inds.,NonF&O,
76,Nirlon,NonF&O,
77,Talbros Auto.,NonF&O,
78,Ultramarine Pig.,NonF&O,
79,Universal Cables,NonF&O,
80,Wendt India,NonF&O,
81,Wheels India,NonF&O,
82,Zuari Industries,NonF&O,
83,Marathon Nextgen,NonF&O,
84,RSWM Ltd,NonF&O,
85,Oricon Enterpris,NonF&O,
86,Sagar Cements,NonF&O,
87,Ester Industries,NonF&O,
88,Ganesh Benzopl.,NonF&O,
89,EIH Assoc.Hotels,NonF&O,
90,RACL Geartech,NonF&O,
91,Elantas Beck,NonF&O,
92,Hind Rectifiers,NonF&O,
93,TCPL Packaging,NonF&O,
94,GRP,NonF&O,
95,Kilburn Engg.,NonF&O,
96,Aeroflex Enter.,NonF&O,
97,AYM Syntex,NonF&O,
98,Orient Bell,NonF&O,
99,Yuken India,NonF&O,
100,Jagsonpal Pharma,NonF&O,"1. Jagsonpal Pharma: Received a warning letter from the USFDA citing ""significant deviations from Current Good Manufacturing Practice"" and inadequate quality systems at their API plant. The Economic Times, The Hindu"
101,DCM Shriram Inds,NonF&O,
102,Genesys Intl.,NonF&O,"10. Genesys Intl.: A study highlighted governance gaps in the deployment of agentic AI, potentially leading to risks to consumer trust and regulatory compliance. www.ciol.com, CXOToday.com "
103,Prec. Wires (I),NonF&O,
104,Kingfa Science,NonF&O,
