,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,11,21,26,8540.92716796875,7997.80712890625,-5974.320429687499,-0.06359029041944964,2019-10-15,2019-10-20,5 days
1,-11,26,35,7837.850986328125,9248.4404296875,-15516.483876953123,-0.17997145465254727,2019-10-20,2019-10-29,9 days
2,8,35,51,9433.40923828125,8811.9365234375,-4971.781718750004,-0.06587996970615706,2019-10-29,2019-11-14,16 days
3,-8,51,78,8635.69779296875,7277.19775390625,10868.000312499993,0.15731213291977408,2019-11-14,2019-12-11,27 days
4,11,78,80,7422.741708984375,7244.662109375,-1958.8755957031226,-0.02399108127308669,2019-12-11,2019-12-13,2 days
5,-11,80,95,7099.7688671875,7289.03125,-2081.886210937497,-0.02665754144296173,2019-12-13,2019-12-28,15 days
6,10,95,153,7434.811875,9921.5830078125,24867.711328125,0.3344766719887582,2019-12-28,2020-02-24,58 days
7,-10,153,187,9723.15134765625,6245.62451171875,34775.268359375004,0.35765429453854514,2020-02-24,2020-03-29,34 days
8,21,187,210,6370.537001953125,6879.7841796875,10694.190732421881,0.07993787298908184,2020-03-29,2020-04-21,23 days
9,-22,210,213,6742.18849609375,7434.181640625,-15223.84917968751,-0.10263627973797718,2020-04-21,2020-04-24,3 days
10,17,213,246,7582.8652734375,8837.380859375,21326.7649609375,0.16544083808689347,2020-04-24,2020-05-27,33 days
11,-18,246,254,8660.6332421875,9655.8544921875,-17913.98250000001,-0.11491321964219647,2020-05-27,2020-06-04,8 days
12,14,254,266,9848.97158203125,9454.2666015625,-5525.869726562505,-0.040075755847327366,2020-06-04,2020-06-16,12 days
13,-14,266,293,9265.18126953125,9277.205078125,-168.3333203125112,-0.0012977413224812828,2020-06-16,2020-07-13,27 days
14,14,293,300,9462.7491796875,9187.220703125,-3857.398671875002,-0.029117170003189252,2020-07-13,2020-07-20,7 days
15,-14,300,304,9003.4762890625,9585.5146484375,-8148.537031249991,-0.06464595903718484,2020-07-20,2020-07-24,4 days
